epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,77.616,0.91612,0.94288,1.24885,0,0,0,0,0,80.0625,0,0.000775822,0.000775822,0.000775822
56,78.9796,0.93824,0.91937,1.24803,0,0,0,0,0,69.3125,0,0.000759318,0.000759318,0.000759318
57,80.3504,0.94252,0.94028,1.32094,0,0,0,0,0,64,0,0.000742815,0.000742815,0.000742815
58,81.6952,0.88796,0.86865,1.19411,0,0,0,0,0,62.5938,0,0.000726312,0.000726312,0.000726312
59,83.0406,0.86801,0.89967,1.19897,0,0,0,0,0,57.5625,0,0.000709809,0.000709809,0.000709809
60,84.4327,0.82711,0.83269,1.16582,0,0,0,0,0,61.7812,0,0.000693305,0.000693305,0.000693305
61,85.767,0.81512,0.91046,1.22883,0,0,0,0,0,65.3125,0,0.000676802,0.000676802,0.000676802
62,87.1709,0.7754,0.84572,1.12076,0,0,0,0,0,63.5312,0,0.000660299,0.000660299,0.000660299
63,88.5531,0.84134,0.8408,1.17425,0,0,0,0,0,61.1562,0,0.000643795,0.000643795,0.000643795
64,89.9026,0.78605,0.77617,1.15314,0,0,0,0,0,62.6562,0,0.000627292,0.000627292,0.000627292
65,91.2313,0.79521,0.82892,1.17568,0,0,0,0,0,61.6562,0,0.000610789,0.000610789,0.000610789
66,92.5707,0.69671,0.72173,1.07236,0,0,0,0,0,62.4062,0,0.000594286,0.000594286,0.000594286
67,93.9232,0.78787,0.86725,1.12967,0,0,0,0,0,62.6875,0,0.000577782,0.000577782,0.000577782
68,95.3161,0.81047,0.82276,1.16052,0,0,0,0,0,59.9062,0,0.000561279,0.000561279,0.000561279
69,96.6813,0.8348,0.8924,1.17558,0,0,0,0,0,62.4062,0,0.000544776,0.000544776,0.000544776
70,98.0255,0.76695,0.72538,1.11059,0,0,0,0,0,63.3438,0,0.000528272,0.000528272,0.000528272
71,99.3679,0.7861,0.80094,1.13522,0,0,0,0,0,63.375,0,0.000511769,0.000511769,0.000511769
72,100.752,0.70142,0.72836,1.07993,0,0,0,0,0,59.3438,0,0.000495266,0.000495266,0.000495266
73,102.127,0.65538,0.71794,1.07973,0,0,0,0,0,55.6875,0,0.000478762,0.000478762,0.000478762
74,103.483,0.74706,0.77682,1.15129,0,0,0,0,0,52.5625,0,0.000462259,0.000462259,0.000462259
75,104.839,0.7401,0.71327,1.1014,0,0,0,0,0,49.4688,0,0.000445756,0.000445756,0.000445756
76,106.235,0.69889,0.74662,1.12019,0,0,0,0,0,48.0625,0,0.000429253,0.000429253,0.000429253
77,107.591,0.63807,0.76025,1.09317,0,0,0,0,0,49.3125,0,0.000412749,0.000412749,0.000412749
78,108.944,0.69802,0.74825,1.1265,0,0,0,0,0,52.5312,0,0.000396246,0.000396246,0.000396246
79,110.284,0.68016,0.70099,1.11776,0,0,0,0,0,55.1562,0,0.000379743,0.000379743,0.000379743
80,111.715,0.72067,0.76831,1.10139,0,0,0,0,0,60.0625,0,0.000363239,0.000363239,0.000363239
81,113.056,0.63162,0.69138,1.08885,0,0,0,0,0,60.0312,0,0.000346736,0.000346736,0.000346736
82,114.532,0.71486,0.69088,1.1442,0,0,0,0,0,58.2812,0,0.000330233,0.000330233,0.000330233
83,115.892,0.66361,0.69351,1.07079,0,0,0,0,0,55.0625,0,0.000313729,0.000313729,0.000313729
84,117.283,0.67861,0.66787,1.11343,0,0,0,0,0,54.0625,0,0.000297226,0.000297226,0.000297226
85,118.618,0.70765,0.75195,1.1042,0,0,0,0,0,54.4688,0,0.000280723,0.000280723,0.000280723
86,119.962,0.63252,0.6816,1.08169,0,0,0,0,0,55.625,0,0.00026422,0.00026422,0.00026422
87,121.344,0.71962,0.7011,1.14576,0,0,0,0,0,57.0625,0,0.000247716,0.000247716,0.000247716
88,122.718,0.66872,0.67896,1.06126,0,0,0,0,0,62.0312,0,0.000231213,0.000231213,0.000231213
89,124.095,0.66295,0.6894,1.07635,0,0,0,0,0,63.0312,0,0.00021471,0.00021471,0.00021471
90,125.462,0.6229,0.69839,1.03564,0,0,0,0,0,64.25,0,0.000198206,0.000198206,0.000198206
91,129.752,0.66219,0.81502,1.21821,0,0,0,0,0,65.5625,0,0.000181703,0.000181703,0.000181703
92,131.758,0.58245,0.7986,1.07824,0,0,0,0,0,63.1562,0,0.0001652,0.0001652,0.0001652
93,133.346,0.62469,0.8889,1.02504,0,0,0,0,0,60.0312,0,0.000148696,0.000148696,0.000148696
94,134.753,0.51337,0.75767,1.02104,0,0,0,0,0,55.9688,0,0.000132193,0.000132193,0.000132193
95,136.205,0.546,0.75055,1.0435,0,0,0,0,0,53.0625,0,0.00011569,0.00011569,0.00011569
96,137.682,0.55905,0.75808,1.01835,0,0,0,0,0,50.5625,0,9.91865e-05,9.91865e-05,9.91865e-05
97,139.122,0.58574,0.74204,1.00332,0,0,0,0,0,51.3125,0,8.26832e-05,8.26832e-05,8.26832e-05
98,140.498,0.56028,0.73891,1.03105,0,0,0,0,0,52.3125,0,6.61799e-05,6.61799e-05,6.61799e-05
99,141.895,0.48601,0.73184,0.98288,0,0,0,0,0,53.7812,0,4.96766e-05,4.96766e-05,4.96766e-05
100,143.288,0.46352,0.65506,0.98531,0,0,0,0,0,57.7188,0,3.31733e-05,3.31733e-05,3.31733e-05
