epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.87433,2.06888,3.4366,2.42405,0,0,0,0,0,34.4375,0,6.668e-05,6.668e-05,6.668e-05
2,4.64362,1.99913,3.49814,2.25593,0,0,0,0,0,34.4375,0,0.000148545,0.000148545,0.000148545
3,6.55427,1.51549,3.26101,1.87548,0,0,0,0,0,34.4375,0,0.000228759,0.000228759,0.000228759
4,8.8856,1.39888,2.97705,1.70139,0,0,0,0,0,34.4375,0,0.000307323,0.000307323,0.000307323
5,10.6215,1.26104,2.84983,1.63794,0,0,0,0,0,34.0312,0,0.000384237,0.000384237,0.000384237
