epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.40263,1.16695,2.53023,1.5416,0,0,0,0,0,32.4375,0,6.668e-05,6.668e-05,6.668e-05
2,3.54148,1.20275,2.53637,1.54905,0,0,0,0,0,30.1406,0,0.000148545,0.000148545,0.000148545
3,5.71672,1.07106,2.26348,1.44803,0,0,0,0,0,29.1875,0,0.000228759,0.000228759,0.000228759
4,7.7776,1.19218,2.01316,1.50318,0,0,0,0,0,27.8594,0,0.000307323,0.000307323,0.000307323
5,9.60218,1.14527,2.01949,1.49092,0,0,0,0,0,28.0938,0,0.000384237,0.000384237,0.000384237
