epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.615494,3.002,3.2779,3.1578,0,0,0,0,0,6.89062,0,0,0,0
2,1.00219,2.51136,3.13844,2.5305,0,0,0,0,0,6.89062,0,1.9802e-05,1.9802e-05,1.9802e-05
3,1.39477,2.47298,3.22969,2.84401,0,0,0,0,0,6.89062,0,3.9208e-05,3.9208e-05,3.9208e-05
4,1.71564,2.58953,3.15715,2.90473,0,0,0,0,0,6.89062,0,5.8218e-05,5.8218e-05,5.8218e-05
5,2.03566,2.24589,3.12375,2.74382,0,0,0,0,0,6.89062,0,7.6832e-05,7.6832e-05,7.6832e-05
6,2.45617,2.56108,3.35062,2.72371,0,0,0,0,0,6.89062,0,9.505e-05,9.505e-05,9.505e-05
7,2.98735,2.22394,2.89304,2.36833,0,0,0,0,0,6.89062,0,0.000112872,0.000112872,0.000112872
8,3.65397,1.89904,3.0509,2.11783,0,0,0,0,0,6.89062,0,0.000130298,0.000130298,0.000130298
9,4.21198,1.4281,2.65943,1.66246,0,0,0,0,0,6.89062,0,0.000147328,0.000147328,0.000147328
10,4.76715,1.08669,2.37599,1.43827,0,0,0,0,0,6.92188,0,0.000163962,0.000163962,0.000163962
11,5.2877,1.70293,3.30814,2.71391,0,0,0,0,0,6.94531,0,0.0001802,0.0001802,0.0001802
12,5.82799,1.49254,2.78577,1.98764,0,0,0,0,0,6.97656,0,0.000196042,0.000196042,0.000196042
13,6.52781,1.32381,2.45876,1.67937,0,0,0,0,0,7.01172,0,0.000211488,0.000211488,0.000211488
14,7.11028,1.48351,2.24566,1.79481,0,0,0,0,0,7.03516,0,0.000226538,0.000226538,0.000226538
15,7.67319,1.39256,2.19751,1.49796,0,0,0,0,0,7.05859,0,0.000241192,0.000241192,0.000241192
16,8.23057,1.50407,1.86584,1.63202,0,0,0,0,0,7.07812,0,0.00025545,0.00025545,0.00025545
17,8.79514,1.49032,1.89439,1.71271,0,0,0,0,0,7.08203,0,0.000269312,0.000269312,0.000269312
18,9.31887,1.31277,1.93029,1.45462,0,0,0,0,0,7.08203,0,0.000282778,0.000282778,0.000282778
19,9.88666,1.45869,2.33495,1.95484,0,0,0,0,0,7.06641,0,0.000295848,0.000295848,0.000295848
20,10.4134,1.18536,1.63369,1.48521,0,0,0,0,0,7.06641,0,0.000308522,0.000308522,0.000308522
21,10.9833,1.20152,1.6889,1.382,0,0,0,0,0,6.99219,0,0.0003208,0.0003208,0.0003208
22,11.747,1.28209,1.59754,1.47107,0,0,0,0,0,6.99219,0,0.000332682,0.000332682,0.000332682
23,12.6002,1.03475,1.36188,1.27704,0,0,0,0,0,6.82422,0,0.000344168,0.000344168,0.000344168
24,13.5442,1.1332,1.51654,1.38385,0,0,0,0,0,6.82422,0,0.000355258,0.000355258,0.000355258
25,14.0766,0.94261,1.32867,1.38167,0,0,0,0,0,6.57812,0,0.000365952,0.000365952,0.000365952
26,14.6092,1.30449,1.30748,1.40769,0,0,0,0,0,6.57812,0,0.00037625,0.00037625,0.00037625
27,15.1613,0.92842,1.19844,1.29863,0,0,0,0,0,6.35547,0,0.000386152,0.000386152,0.000386152
28,15.7143,0.92424,1.58228,1.23861,0,0,0,0,0,6.35547,0,0.000395658,0.000395658,0.000395658
29,16.2605,0.84266,1.12487,1.245,0,0,0,0,0,6.23047,0,0.000404768,0.000404768,0.000404768
30,16.7954,1.06695,1.28747,1.18414,0,0,0,0,0,6.23047,0,0.000413482,0.000413482,0.000413482
31,17.3466,0.903,1.26158,1.21646,0,0,0,0,0,6.125,0,0.0004218,0.0004218,0.0004218
32,17.89,0.85917,1.24906,1.13844,0,0,0,0,0,6.125,0,0.000429722,0.000429722,0.000429722
33,18.4638,1.01215,1.61186,1.36056,0,0,0,0,0,6.05469,0,0.000437248,0.000437248,0.000437248
34,19.0075,0.99544,1.30184,1.52991,0,0,0,0,0,6.05469,0,0.000444378,0.000444378,0.000444378
35,19.5567,0.87836,1.07124,1.14086,0,0,0,0,0,6.10547,0,0.000451112,0.000451112,0.000451112
36,20.1087,1.17042,1.32847,1.49287,0,0,0,0,0,6.10547,0,0.00045745,0.00045745,0.00045745
37,20.6392,1.26475,1.72915,1.47421,0,0,0,0,0,6.12891,0,0.000463392,0.000463392,0.000463392
38,21.192,0.84565,1.26525,1.27447,0,0,0,0,0,6.12891,0,0.000468938,0.000468938,0.000468938
39,21.7415,0.91375,1.02706,1.29473,0,0,0,0,0,6.0625,0,0.000474088,0.000474088,0.000474088
40,22.2555,0.91908,1.14273,1.23682,0,0,0,0,0,6.0625,0,0.000478842,0.000478842,0.000478842
41,22.7837,0.85167,1.38061,1.24815,0,0,0,0,0,6.10547,0,0.0004832,0.0004832,0.0004832
42,23.3301,0.96409,1.08548,1.21625,0,0,0,0,0,6.10547,0,0.000487162,0.000487162,0.000487162
43,23.8764,1.13751,1.18727,1.30586,0,0,0,0,0,6.16406,0,0.000490728,0.000490728,0.000490728
44,24.4089,1.13836,1.34893,1.33399,0,0,0,0,0,6.16406,0,0.000493898,0.000493898,0.000493898
45,24.9602,0.83936,1.0764,1.19658,0,0,0,0,0,6.20703,0,0.000496672,0.000496672,0.000496672
46,25.4909,0.99268,1.07206,1.34228,0,0,0,0,0,6.20703,0,0.00049905,0.00049905,0.00049905
47,26.0464,0.8781,1.27958,1.2045,0,0,0,0,0,6.26172,0,0.000501032,0.000501032,0.000501032
48,26.5919,0.98041,1.53607,1.44511,0,0,0,0,0,6.26172,0,0.000502618,0.000502618,0.000502618
49,27.1612,0.93224,1.04673,1.15721,0,0,0,0,0,6.35938,0,0.000503808,0.000503808,0.000503808
50,27.7055,0.8243,1.22293,1.28594,0,0,0,0,0,6.35938,0,0.000504602,0.000504602,0.000504602
51,28.2677,1.03557,1.17931,1.33296,0,0,0,0,0,6.50781,0,0.000505,0.000505,0.000505
52,28.8127,1.09735,1.22524,1.18786,0,0,0,0,0,6.50781,0,0.000505002,0.000505002,0.000505002
53,29.3249,0.96817,1.19156,1.29298,0,0,0,0,0,6.50781,0,0.000504608,0.000504608,0.000504608
54,29.879,0.8943,1.34591,1.38707,0,0,0,0,0,6.64062,0,0.000503818,0.000503818,0.000503818
55,30.4322,0.98727,1.55555,1.31369,0,0,0,0,0,6.64062,0,0.000502632,0.000502632,0.000502632
56,31.0947,0.79266,1.96727,1.41877,0,0,0,0,0,6.64062,0,0.00050105,0.00050105,0.00050105
57,31.6328,1.23191,1.08273,1.33817,0,0,0,0,0,6.61719,0,0.000499072,0.000499072,0.000499072
58,32.1635,0.83867,1.37535,1.38513,0,0,0,0,0,6.61719,0,0.000496698,0.000496698,0.000496698
